"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_login","tests.pytest","Wed Mar 04 20:57:51 UTC 2026","passed","Wed Mar 04 20:57:51 UTC 2026","TestUserAuthentification","test_markers","",""
"","1821","User login with wrong email or password","LMS system","Wed Mar 04 20:57:41 UTC 2026","passed","Wed Mar 04 20:57:43 UTC 2026","Authorization","Authentication","",""
"","2052","Registration with correct email, username or password","LMS system","Wed Mar 04 20:57:45 UTC 2026","passed","Wed Mar 04 20:57:47 UTC 2026","Registration","Authentication","",""
"","3514","User login with correct email or password","LMS system","Wed Mar 04 20:57:39 UTC 2026","passed","Wed Mar 04 20:57:42 UTC 2026","Authorization","Authentication","",""
"","1","test_regression_case","tests.pytest","Wed Mar 04 20:57:51 UTC 2026","passed","Wed Mar 04 20:57:51 UTC 2026","","test_markers","",""
"","0","test_password_reset","tests.pytest","Wed Mar 04 20:57:51 UTC 2026","passed","Wed Mar 04 20:57:51 UTC 2026","TestUserAuthentification","test_markers","",""
"","1739","Check displaying of dashboard page","LMS system","Wed Mar 04 20:57:52 UTC 2026","passed","Wed Mar 04 20:57:54 UTC 2026","Dashboard","Dashboard","",""
"","2234","User login with wrong email or password","LMS system","Wed Mar 04 20:57:39 UTC 2026","passed","Wed Mar 04 20:57:41 UTC 2026","Authorization","Authentication","",""
"","1475","Navigation from login page to registration page","LMS system","Wed Mar 04 20:57:43 UTC 2026","passed","Wed Mar 04 20:57:45 UTC 2026","Authorization","Authentication","",""
"","1","test_password_link","tests.pytest","Wed Mar 04 20:57:51 UTC 2026","passed","Wed Mar 04 20:57:51 UTC 2026","TestUserInterface","test_markers","",""
"","2912","Edit course","LMS system","Wed Mar 04 20:57:49 UTC 2026","passed","Wed Mar 04 20:57:52 UTC 2026","Courses","Courses","",""
"","1725","User login with wrong email or password","LMS system","Wed Mar 04 20:57:43 UTC 2026","passed","Wed Mar 04 20:57:44 UTC 2026","Authorization","Authentication","",""
"","2752","Create course","LMS system","Wed Mar 04 20:57:48 UTC 2026","passed","Wed Mar 04 20:57:51 UTC 2026","Courses","Courses","",""
"","0","test_logout","tests.pytest","Wed Mar 04 20:57:51 UTC 2026","passed","Wed Mar 04 20:57:51 UTC 2026","TestUserAuthentification","test_markers","",""
"","1630","Check displaying of empty courses list","LMS system","Wed Mar 04 20:57:46 UTC 2026","passed","Wed Mar 04 20:57:48 UTC 2026","Courses","Courses","",""
"","1","test_critical_login","tests.pytest","Wed Mar 04 20:57:51 UTC 2026","passed","Wed Mar 04 20:57:51 UTC 2026","","test_markers","",""
